NULL,FEMALE,MALE
4.25,3.09727626459144,3.266666666666667
4.0,3.214007782101167,3.169444444444444
2.5,2.21011673151751,2.880555555555556
3.25,3.494163424124514,3.204166666666667
4.0,2.949416342412451,3.316666666666667
3.25,2.916342412451362,3.409722222222222
4.5,2.595330739299611,2.768055555555556
3.0,2.906614785992218,2.783333333333333
3.0,3.14591439688716,3.477777777777778
3.0,2.212062256809339,2.170833333333333
3.5,1.929961089494163,2.090277777777778
4.25,3.591439688715953,3.483333333333333
4.0,2.472762645914397,2.656944444444444
4.0,3.505836575875486,3.629166666666667
2.75,2.712062256809339,2.891666666666667
3.0,3.620622568093385,3.316666666666667
2.25,3.099221789883268,2.973611111111111
1.75,2.038910505836576,2.141666666666667
4.25,3.404669260700389,3.697222222222222
3.75,2.708171206225681,3.034722222222222
2.75,3.972762645914397,3.5875
3.75,3.875486381322957,3.3875
4.0,2.571984435797665,2.991666666666667
4.0,3.192607003891051,3.365277777777778
3.25,2.3715953307393,2.565277777777778
3.0,3.381322957198444,3.119444444444444
3.25,2.089494163424125,2.380555555555556
4.0,2.840466926070039,2.9
3.5,2.231517509727626,2.477777777777778
3.0,4.192607003891051,4.002777777777778
